列車番号,,1621M,621,1623M,623,721M,5625M,723M,725M,321M,1627M,627,323M,727M,1629M,629,729M,1731M,1821E,1521E,5631M,2821Y,601,733M,1523E,1823E,1825E,1525E,1827E,1527E,5633M,1829E,1529E,2823Y,8053M,1531E,1531E,5635M,1833E,2825Y,1533E,1835E,1535E,2827Y,1837E,1537E,2829Y,5637M,1839E,2831Y,1841E,3023M,4023M,5639M,1843E,1543E,2833Y,1545E,1847E,8055M,1547E,2835Y,1849E,1851E,3027M,5641M,2837Y,1551E,1855E,1553E,8029M,9029M,9071M,2839Y,1555E,1857E,1557E,3001M,5643M,4821Y,1859E,1559E,9061M,1861E,8031M,8031M,5645M,2841Y,1561E,1863E,1563E,3033M,4033M,5647M,4823Y,1865E,1565E,1867E,8003M,2843Y,1567E,1869E,1569E,3035M,5649M,4825Y,1871E,1571E,1873E,1873E,8059M,5651M,2845Y,1573E,1653M,1875E,1575E,4827Y,1877E,5655M,1577E,1879E,2847Y,1579E,5657M,1881E,1581E,4829Y,657,1883E,1583E,5659M,1885E,2849Y,659,1585E,1661M,661,1887E,1587E,4831Y,1889E,761,1589E,701,1891E,2851Y,1591E,1663M,1893E,1593E,4833Y,1895E,1897E,5665M,1595E,3071M,1597E,2853Y,1899E,1599E,1921E,3073M,1621E,1623E,2855Y,1667M,667,1923E,1625E,1627E,3091M,1925E,3075M,1629E,2857Y,1669M,1927E,669,1631E,1929E,3077M,1633E,1635E,2859Y,1931E,3093M,1637E,3079M,1639E,1671M,1933E,671,1641E,2861Y,1643E,3081M,1935E,1645E,2863Y,1673M,673,1937E,3083M,1647E,2865Y,1939E,1649E,3085M,1675M,1941E,2867Y,1651E,1943E,1653E,1945E,5031M,5031M,1655E,3087M,1947E,2869Y,1949E,9011M,1657E,1951E,1659E,2871Y,1953E,6089M,1661E,2873Y,735M,737M,739M,741M,743M,745M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,特急 踊り子53号_特急 踊り子53号,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,特急 踊り子3号_特急 踊り子3号,特急 踊り子3号_特急 踊り子3号,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,特急 踊り子55号_特急 踊り子55号,普通_普通,快速_快速,普通_普通,普通_普通,特急 踊り子7号_特急 踊り子7号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子9号_特急 踊り子9号,特急 踊り子9号_特急 踊り子9号,特急 みなみの桜・河津桜号_特急 みなみの桜・河津桜号,快速_快速,普通_普通,普通_普通,普通_普通,特急 サフィール踊り子1号_特急 サフィール踊り子1号,普通_普通,特別快速_特別快速,普通_普通,普通_普通,特急 「１８５」_特急 「１８５」,普通_普通,特急 踊り子11号_特急 踊り子11号,特急 踊り子11号_特急 踊り子11号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子13号_特急 踊り子13号,特急 踊り子13号_特急 踊り子13号,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,特急 サフィール踊り子3号_特急 サフィール踊り子3号,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子15号_特急 踊り子15号,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 踊り子59号_特急 踊り子59号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 湘南1号_特急 湘南1号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 湘南3号_特急 湘南3号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 湘南21号_特急 湘南21号,普通_普通,特急 湘南5号_特急 湘南5号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 湘南7号_特急 湘南7号,普通_普通,普通_普通,快速_快速,普通_普通,特急 湘南23号_特急 湘南23号,普通_普通,特急 湘南9号_特急 湘南9号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,特急 湘南11号_特急 湘南11号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 湘南13号_特急 湘南13号,普通_普通,快速_快速,普通_普通,普通_普通,特急 湘南15号_特急 湘南15号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,寝台特急 サンライズ出雲_寝台特急 サンライズ出雲,寝台特急 サンライズ瀬戸_寝台特急 サンライズ瀬戸,普通_普通,特急 湘南17号_特急 湘南17号,普通_普通,快速_快速,普通_普通,寝台特急 サンライズ出雲91号_寝台特急 サンライズ出雲91号,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,特急 湘南19号_特急 湘南19号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,_,_,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,プレミアムグリーン_グリーン車指定席_６人用グリーン個室連結_４人用グリーン個室連結______,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,プレミアムグリーン_グリーン車指定席_６人用グリーン個室連結_４人用グリーン個室連結______,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,Ａ寝台１人個室_Ｂ寝台１人個室_Ｂ寝台２人個室_普通車全車指定席______,Ａ寝台１人個室_Ｂ寝台１人個室_Ｂ寝台２人個室_普通車全車指定席______,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,Ａ寝台１人個室_Ｂ寝台１人個室_Ｂ寝台２人個室_普通車全車指定席______,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,2月19～22日運転__◆_2月19～22日運転_,平日,2月19～22日はこの時刻に変更__時変_2月19～22日はこの時刻に変更_,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,全日,全日,全日,平日,平日,平日,平日,平日,11月24日・12月29日・2月13～16・19～22・26～29日運転__◆_11月24日・12月29日・2月13～16・19～22・26～29日運転_,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,2月25日までの土曜・休日と12月29日～1月3日運転__◆_2月25日までの土曜・休日と12月29日～1月3日運転_,12月28日運転__◆_12月28日運転_,2月16日運転__◆_2月16日運転_,平日,平日,平日,平日,全日,全日,平日,平日,平日,12月22日・1月19日運転__◆_12月22日・1月19日運転_,平日,11月25・26日・12月28・30日～1月3・6～8・13・14・20・21・27・28日の毎日と2月3～25日の土曜・休日運転__◆_11月25・26日・12月28・30日～1月3・6～8・13・14・20・21・27・28日の毎日と2月3～25日の土曜・休日運転_,12月29日運転__◆_12月29日運転_,全日,平日,平日,平日,平日,全日,全日,全日,平日,全日,平日,平日,11月20～22・24・27・30日・12月1・4・7・8・11・14・15・18・21・22・25～29日・1月4・5・11・12・15・18・19・22・25・26・29日・2月1・2・5・8・9・15・16・19～22・26～29日運転__◆_11月20～22・24・27・30日・12月1・4・7・8・11・14・15・18・21・22・25～29日・1月4・5・11・12・15・18・19・22・25・26・29日・2月1・2・5・8・9・15・16・19～22・26～29日運転_,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,12月29日はこの時刻に変更__時変_12月29日はこの時刻に変更_,12月29日と2月10～25日の土曜・休日運転__◆_12月29日と2月10～25日の土曜・休日運転_,全日,平日,平日,全日,全日,平日,平日,平日,全日,平日,平日,平日,平日,全日,平日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,全日,全日,全日,平日,平日,平日,全日,平日,全日,平日,平日,平日,全日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,12月29日・1月4日運転__◆_12月29日・1月4日運転_,平日,平日,平日,平日,平日,12月1・7・8・14・15・21・22日・1月12・19・26日・2月2・9・16・22日運転__◆_12月1・7・8・14・15・21・22日・1月12・19・26日・2月2・9・16・22日運転_,平日,平日,全日,全日,平日,全日,全日,全日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京－熱海間は3023M〔踊り子3号〕に併結__★_東京－熱海間は3023M〔踊り子3号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京－熱海間は3033M〔踊り子13号〕に併結__★_東京－熱海間は3033M〔踊り子13号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,,,,,,,,,,,,,,↑,↑,,↑,,,↑,↑,↑,↑,↑,↑,,↑,↑,↑,,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,,,,↑,↑,↑,↑,↑,,↑,↑,↑,↑,,,↑,↑,↑,↑,,,↑,↑,,↑,↑,,,↑,↑,↑,,↑,,,,↑,↑,↑,↑,,,,↑,↑,↑,↑,,↑,↑,↑,↑,,,↑,↑,↑,↑,↑,,,↑,↑,,↑,↑,↑,↑,,↑,↑,↑,↑,,↑,↑,↑,,↑,↑,,↑,↑,,↑,,,↑,↑,↑,↑,,↑,,↑,↑,↑,,↑,↑,↑,↑,↑,,,,↑,↑,↑,↑,↑,,↑,↑,↑,,,↑,,↑,↑,↑,,↑,↑,,↑,,↑,↑,,,↑,↑,↑,↑,↑,,,,↑,,,↑,↑,,↑,↑,↑,,,↑,,↑,↑,↑,↑,,,↑,↑,↑,↑,↑,↑,,,↑,,↑,↑,↑,,↑,↑,↑,↑,↑,,↑,↑,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,籠原_0506_籠原_0506,宇都宮_0437_宇都宮_0437,___,籠原_0523_籠原_0523,___,___,小金井_0511_小金井_0511,籠原_0533_籠原_0533,新前橋_0500_新前橋_0500,小金井_0535_小金井_0535,高崎_0521_高崎_0521,小金井_0550_小金井_0550,___,籠原_0609_籠原_0609,宇都宮_0540_宇都宮_0540,籠原_0614_籠原_0614,___,小金井_0616_小金井_0616,小金井_0616_小金井_0616,___,籠原_0635_籠原_0635,前橋_0531_前橋_0531,小金井_0633_小金井_0633,高崎_0606_高崎_0606,宇都宮_0614_宇都宮_0614,高崎_0613_高崎_0613,籠原_0657_籠原_0657,古河_0712_古河_0712,高崎_0624_高崎_0624,___,前橋_0608_前橋_0608,深谷_0707_深谷_0707,高崎_0643_高崎_0643,___,___,___,前橋_0641_前橋_0641,宇都宮_0701_宇都宮_0701,高崎_0701_高崎_0701,宇都宮_0720_宇都宮_0720,高崎_0718_高崎_0718,___,宇都宮_0737_宇都宮_0737,前橋_0708_前橋_0708,高崎_0744_高崎_0744,籠原_0824_籠原_0824,___,___,高崎_0758_高崎_0758,宇都宮_0805_宇都宮_0805,高崎_0823_高崎_0823,宇都宮_0834_宇都宮_0834,___,___,高尾_0936_高尾_0936,籠原_0908_籠原_0908,___,高崎_0847_高崎_0847,宇都宮_0907_宇都宮_0907,___,___,高崎_0915_高崎_0915,籠原_0943_籠原_0943,宇都宮_0923_宇都宮_0923,___,高崎_0929_高崎_0929,___,___,___,籠原_1013_籠原_1013,小金井_1000_小金井_1000,高崎_0954_高崎_0954,古河_1046_古河_1046,___,___,___,高崎_1014_高崎_1014,籠原_1040_籠原_1040,宇都宮_1021_宇都宮_1021,高崎_1026_高崎_1026,___,籠原_1113_籠原_1113,小金井_1101_小金井_1101,高崎_1054_高崎_1054,古河_1142_古河_1142,___,___,高崎_1114_高崎_1114,籠原_1141_籠原_1141,宇都宮_1116_宇都宮_1116,高崎_1132_高崎_1132,高崎_1132_高崎_1132,___,___,籠原_1213_籠原_1213,小金井_1200_小金井_1200,___,高崎_1152_高崎_1152,古河_1247_古河_1247,高崎_1214_高崎_1214,籠原_1241_籠原_1241,___,宇都宮_1217_宇都宮_1217,高崎_1232_高崎_1232,籠原_1313_籠原_1313,小金井_1300_小金井_1300,___,高崎_1253_高崎_1253,古河_1347_古河_1347,高崎_1314_高崎_1314,___,籠原_1341_籠原_1341,宇都宮_1318_宇都宮_1318,___,高崎_1328_高崎_1328,籠原_1412_籠原_1412,___,小金井_1357_小金井_1357,___,___,高崎_1349_高崎_1349,古河_1446_古河_1446,高崎_1414_高崎_1414,籠原_1441_籠原_1441,___,宇都宮_1416_宇都宮_1416,___,高崎_1428_高崎_1428,籠原_1513_籠原_1513,小金井_1500_小金井_1500,___,高崎_1452_高崎_1452,古河_1550_古河_1550,高崎_1514_高崎_1514,籠原_1541_籠原_1541,籠原_1558_籠原_1558,___,___,___,小金井_1550_小金井_1550,籠原_1613_籠原_1613,籠原_1621_籠原_1621,小金井_1609_小金井_1609,高崎_1555_高崎_1555,___,小金井_1626_小金井_1626,宇都宮_1610_宇都宮_1610,高崎_1611_高崎_1611,___,___,籠原_1650_籠原_1650,___,古河_1705_古河_1705,新宿_1825_新宿_1825,高崎_1626_高崎_1626,___,小金井_1650_小金井_1650,籠原_1713_籠原_1713,___,前橋_1613_前橋_1613,___,小金井_1706_小金井_1706,高崎_1659_高崎_1659,___,___,宇都宮_1715_宇都宮_1715,高崎_1713_高崎_1713,籠原_1756_籠原_1756,新宿_1930_新宿_1930,小金井_1746_小金井_1746,___,___,___,籠原_1822_籠原_1822,___,___,籠原_1827_籠原_1827,宇都宮_1753_宇都宮_1753,___,高崎_1759_高崎_1759,古河_1857_古河_1857,高崎_1814_高崎_1814,___,___,籠原_1858_籠原_1858,___,小金井_1851_小金井_1851,籠原_1919_籠原_1919,高崎_1847_高崎_1847,古河_1941_古河_1941,___,___,高崎_1907_高崎_1907,高崎_1916_高崎_1916,宇都宮_1912_宇都宮_1912,籠原_2001_籠原_2001,小金井_1956_小金井_1956,高崎_1946_高崎_1946,___,___,宇都宮_2001_宇都宮_2001,___,高崎_2007_高崎_2007,籠原_2036_籠原_2036,籠原_2051_籠原_2051,___,古河_2105_古河_2105,籠原_2111_籠原_2111,宇都宮_2049_宇都宮_2049,籠原_2124_籠原_2124,高崎_2048_高崎_2048,___,小金井_2127_小金井_2127,高崎_2105_高崎_2105,___,___,___,___,___,___
上野番線_上野番線,,,,,,,,,,,,,,,,,,,(8),(7),,・,,,(7),(7),(7),(7),(7),(7),,(7),(7),・,,(7),2月19～22日はこの時刻に変更__(7)_2月19～22日はこの時刻に変更_,,(7),・,(7),(7),(7),・,(7),(7),・,,(7),・,(7),,,,(7),(7),・,(7),(7),,(7),・,(7),(7),,,・,(7),(7),(7),,,・,・,(7),(7),(7),,,・,(7),(7),,(7),,,,・,(7),(7),(7),,,,・,(7),(7),(7),,・,(7),(7),(7),,,・,(7),(7),(7),(7),,,・,(7),,(7),(7),・,(7),,(7),(7),・,(7),,(7),(7),・,,(7),(7),,(7),・,,(7),,,(7),(7),・,(7),,(7),,(7),・,(7),,(7),(7),・,(7),(7),,(7),,(7),・,(7),(7),(7),,(7),(7),・,,,(8),(7),(7),・,(7),,(7),・,,(7),,(7),(8),,(7),(7),・,(7),・,(8),,(7),,(7),,(7),・,(7),,(7),(7),・,,,(7),,(7),・,(7),(7),,,(7),・,(7),(7),(7),(7),,,(7),,(8),・,(7),,(7),(7),(7),・,(7),,(7),・,,,,,,
上野_上野,発,,,,,,,,,,,,,,,,,,0617,0620,,・,,,0638,0647,0654,0702,0712,0722,,0729,0736,・,,0746,2月19～22日はこの時刻に変更__0747_2月19～22日はこの時刻に変更_,,0754,・,0801,0806,0812,・,0817,0823,・,,0829,・,0843,,,,0855,0900,・,0910,0917,,0924,・,0936,0948,,,・,0954,1012,1021,,,・,・,1030,1041,1051,,,・,1102,1111,,1121,,,,・,1131,1141,1151,,,,・,1200,1211,1221,,・,1231,1241,1251,,,・,1301,1311,1321,1321,,,・,1331,,1341,1351,・,1401,,1411,1421,・,1431,,1441,1451,・,,1500,1511,,1521,・,,1531,,,1541,1551,・,1600,,1612,,1621,・,1631,,1642,1652,・,1701,1711,,1717,,1725,・,1733,1741,1747,,1754,1802,・,,,1805,1810,1815,・,1819,,1825,・,,1833,,1841,1849,,1854,1902,・,1911,・,1917,,1925,,1934,,1940,・,1948,,1954,2005,・,,,2016,,2025,・,2034,2047,,,2054,・,2106,2118,2124,2136,,,2145,,2154,・,2205,,2219,2224,2234,・,2245,,2255,・,,,,,,
東京_東京,着,,,,,,,,,,,,,,,,,,0622,0625,,・,,,0643,0652,0659,0707,0716,0727,,0734,0741,・,,0751,2月19～22日はこの時刻に変更__0752_2月19～22日はこの時刻に変更_,,0759,・,0806,0811,0817,・,0822,0829,・,,0835,・,0848,,,,0900,0905,・,0915,0922,,0930,・,0941,0953,,,・,0959,1017,1026,,,・,・,1035,1046,1056,,,・,1107,1116,,1126,,,,・,1136,1146,1156,,,,・,1205,1216,1226,,・,1236,1246,1256,,,・,1306,1317,1326,1326,,,・,1336,,1346,1356,・,1406,,1416,1426,・,1436,,1446,1455,・,,1506,1517,,1526,・,,1536,,,1546,1556,・,1605,,1617,,1626,・,1636,,1646,1656,・,1706,1716,,1722,,1730,・,1738,1746,1752,,1800,1807,・,,,1810,1816,1820,・,1825,,1830,・,,1839,,1846,1854,,1900,1907,・,1917,・,1922,,1930,,1939,,1945,・,1953,,2000,2010,・,,,2021,,2030,・,2039,2052,,,2100,・,2111,2123,2130,2141,,,2151,,2201,・,2210,,2224,2230,2239,・,2250,,2300,・,,,,,,
東京番線_東京番線,,,,,,,,,,(9),,,(9),,,,(10),(9),(10),(10),,・,,,(10),(10),(10),(10),(10),(10),,(10),(10),・,(9),(10),2月19～22日はこの時刻に変更__(10)_2月19～22日はこの時刻に変更_,,(10),・,(10),(10),(10),・,(10),(10),・,,(10),・,(10),(9),,,(10),(10),・,(10),(10),(9),(10),・,(10),(10),(9),,・,(10),(10),(10),(9),(9),・,・,(10),(10),(10),(9),,・,(10),(10),,(10),(9),(9),,・,(10),(10),(10),(9),,,・,(10),(10),(10),(9),・,(10),(10),(10),(9),,・,(10),(10),(10),(10),(9),,・,(10),,(10),(10),・,(10),,(10),(10),・,(10),,(10),(10),・,,(10),(10),,(10),・,,(10),,,(10),(10),・,(10),,(10),,(10),・,(10),,(10),(10),・,(10),(10),,(10),(9),(10),・,(10),(10),(10),(9),(10),(10),・,,,(10),(10),(10),・,(10),(9),(10),・,,(10),,(10),(10),(9),(10),(10),・,(10),・,(10),(9),(10),,(10),,(10),・,(10),(9),(10),(10),・,,,(10),(9),(10),・,(10),(10),(9),,(10),・,(10),(10),(10),(10),(9),(9),(10),(9),(10),・,(10),(8),(10),(10),(10),・,(10),(9),(10),・,(8),(10),(9),(10),(9),(10)
